id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
A,188.80952380952394,0,12,0,0.0,0.0,0.0,-3053285.930127151
B,188.80952380952394,0,12,-1,0.0,0.0,-1158.144132653059,-3054444.074259804
C,188.80952380952394,0,12,-7,0.0,0.0,-9265.153061224471,-3063709.2273210287
D,188.80952380952394,1,10,0,0.0,0.0,-9265.153061224471,-3072974.3803822533
E,188.80952380952394,6,7,0,0.0,0.0,-9265.153061224471,-3082239.533443478
F,188.80952380952394,1,10,-1,0.0,4.125,-10423.29719387753,-3092662.8306373553
G,188.80952380952394,1,10,0,0.0,0.0,-10423.29719387753,-3103086.1278312327
H,188.80952380952394,4,12,0,0.0,0.0,-10423.29719387753,-3113509.42502511
I,188.80952380952394,4,12,0,0.0,0.0,-10423.29719387753,-3123932.7222189875
J,188.80952380952394,8,30,0,0.0,0.0,-10423.29719387753,-3134356.019412865
A,191,0,12,0,0.0,0.0,0.0,-3134356.019412865
B,191,0,12,-1,0.0,0.0,-418.38095238092785,-3134774.400365246
C,191,0,12,-7,0.0,0.0,-3347.047619047423,-3138121.4479842936
D,191,6,7,-3,0.0,0.0,-4602.190476190206,-3142723.638460484
E,191,6,7,0,0.0,0.0,-4602.190476190206,-3147325.828936674
F,191,1,10,-1,0.0,4.125,-5020.571428571134,-3152346.4003652455
G,191,1,10,0,0.0,0.0,-5020.571428571134,-3157366.971793817
H,191,4,12,0,0.0,0.0,-5020.571428571134,-3162387.5432223883
I,191,4,12,0,0.0,0.0,-5020.571428571134,-3167408.1146509596
J,191,8,30,0,0.0,0.0,-5020.571428571134,-3172428.686079531
A,193.26388888888926,0,12,0,0.0,0.0,0.0,-3172428.686079531
B,193.26388888888926,0,12,-1,0.0,0.0,-10629.513888888909,-3183058.19996842
C,193.26388888888926,0,12,-7,0.0,0.0,-85036.11111111127,-3268094.3110795314
D,193.26388888888926,6,7,-3,0.0,0.0,-116924.652777778,-3385018.9638573094
E,193.26388888888926,6,7,0,0.0,0.0,-116924.652777778,-3501943.6166350874
F,193.26388888888926,1,10,-1,0.0,4.125,-127554.1666666669,-3629497.7833017544
G,193.26388888888926,1,10,0,0.0,0.0,-127554.1666666669,-3757051.9499684214
H,193.26388888888926,4,12,-1,0.0,0.0,-138183.68055555582,-3895235.6305239773
I,193.26388888888926,4,12,0,0.0,0.0,-138183.68055555582,-4033419.3110795333
J,193.26388888888926,8,30,0,0.0,0.0,-138183.68055555582,-4171602.9916350893
A,196.7521645021647,0,12,0,0.0,0.0,0.0,-4171602.9916350893
