('50', 'I', 'G', 3415.1882440948802, 109.0)
['140', 'E', 'EOL', 3416.7932535645273, 0]
['24', 'A', 'EOL', 3430.4921834505426, 0]
('63', 'I', 'F', 3433, 41.333333333333336)
['27', 'A', 'EOL', 3450.945373690008, 0]
['40', 'G', 'EOL', 3479.9132440948797, 0]
('47', 'H', 'G', 3479.9132440948797, 107.0)
['135', 'E', 'EOL', 3489.082408224971, 0]
['124', 'B', 'EOL', 3491.494166970593, 0]
['11', 'G', 'EOL', 3504.645007299752, 0]
('73', 'I', 'G', 3504.645007299752, 107.0)
['15', 'F', 'EOL', 3514.483636637835, 0]
('57', 'H', 'F', 3514.483636637835, 39.333333333333336)
['13', 'E', 'EOL', 3515.0292155639386, 0]
['7', 'D', 'EOL', 3521.3280960241464, 0]
('80', 'I', 'F', 3530, 106.0)
('62', 'H', 'G', 3569, 100)
('78', 'H', 'G', 3569, 100)
['126', 'C', 'EOL', 3587.934347737013, 0]
['37', 'D', 'EOL', 3596.2445143645855, 0]
['44', 'E', 'EOL', 3596.3096177456023, 0]
('84', 'I', 'E', 3596.3096177456023, 21.666666666666668)
['1', 'F', 'EOL', 3627.083173638726, 0]
('64', 'J', 'F', 3627.083173638726, 134.0)
('83', 'J', 'D', 3642, 58.0)
('85', 'J', 'F', 3650, 100)
('88', 'J', 'F', 3650, 100)
('26', 'J', 'D', 3667, 63.333333333333336)
['2', 'B', 'EOL', 3686.767587551168, 0]
['20', 'B', 'EOL', 3712.469055260532, 0]
['4', 'E', 'EOL', 3717.342947644839, 0]
('28', 'J', 'E', 3717.342947644839, 45.66666666666667)
['59', 'G', 'EOL', 3736.374464457255, 0]
['92', 'G', 'EOL', 3736.374464457255, 0]
['96', 'G', 'EOL', 3736.374464457255, 0]
['112', 'G', 'EOL', 3736.374464457255, 0]
['116', 'G', 'EOL', 3736.374464457255, 0]
('18', 'J', 'G', 3736.374464457255, 100)
('21', 'J', 'G', 3736.374464457255, 100)
('30', 'J', 'G', 3736.374464457255, 100)
('32', 'J', 'G', 3736.374464457255, 100)
('33', 'J', 'G', 3736.374464457255, 100)
('35', 'J', 'E', 3743, 48.0)
['67', 'F', 'EOL', 3755.0087326550215, 0]
['82', 'F', 'EOL', 3755.0087326550215, 0]
['91', 'F', 'EOL', 3755.0087326550215, 0]
['102', 'F', 'EOL', 3755.0087326550215, 0]
['111', 'F', 'EOL', 3755.0087326550215, 0]
('41', 'J', 'F', 3755.0087326550215, 100)
('51', 'J', 'F', 3755.0087326550215, 100)
('53', 'J', 'F', 3755.0087326550215, 100)
('55', 'J', 'F', 3755.0087326550215, 100)
('61', 'J', 'F', 3755.0087326550215, 100)
('65', 'J', 'D', 3756, 117.0)
('69', 'J', 'E', 3771, 49.333333333333336)
['81', 'E', 'EOL', 3811.038028532338, 0]
['87', 'E', 'EOL', 3811.038028532338, 0]
['101', 'E', 'EOL', 3811.038028532338, 0]
['107', 'E', 'EOL', 3811.038028532338, 0]
('70', 'J', 'E', 3811.038028532338, 37.083333333333336)
('74', 'J', 'E', 3811.038028532338, 38.0)
('76', 'J', 'E', 3811.038028532338, 39.833333333333336)
('77', 'J', 'E', 3811.038028532338, 45.333333333333336)
['54', 'A', 'EOL', 3835.358493157163, 0]
['58', 'A', 'EOL', 3835.358493157163, 0]
['68', 'A', 'EOL', 3835.358493157163, 0]
['99', 'A', 'EOL', 3835.358493157163, 0]
['119', 'A', 'EOL', 3835.358493157163, 0]
('93', 'J', 'A', 3835.358493157163, 22.166666666666668)
('97', 'J', 'A', 3835.358493157163, 26.666666666666668)
['75', 'D', 'EOL', 3842.1172140214985, 0]
['79', 'D', 'EOL', 3842.1172140214985, 0]
['90', 'D', 'EOL', 3842.1172140214985, 0]
['110', 'D', 'EOL', 3842.1172140214985, 0]
('98', 'J', 'D', 3842.1172140214985, 102.25)
('113', 'J', 'D', 3842.1172140214985, 102.66666666666667)
('117', 'J', 'D', 3842.1172140214985, 103.5)
('118', 'J', 'D', 3842.1172140214985, 106.0)
('122', 'J', 'E', 3871, 105.0)
['66', 'B', 'EOL', 3874.6662020648155, 0]
['72', 'B', 'EOL', 3874.6662020648155, 0]
['86', 'B', 'EOL', 3874.6662020648155, 0]
['94', 'B', 'EOL', 3874.6662020648155, 0]
['106', 'B', 'EOL', 3874.6662020648155, 0]
['114', 'B', 'EOL', 3874.6662020648155, 0]
('104', 'I', 'B', 3874.6662020648155, 17.666666666666668)
('125', 'J', 'B', 3874.6662020648155, 18.0)
('121', 'I', 'B', 3874.6662020648155, 18.166666666666668)
('123', 'H', 'B', 3874.6662020648155, 19.666666666666668)
['3', 'G', 'EOL', 3877.7071184018414, 0]
['9', 'B', 'EOL', 3890.010102154206, 0]
('129', 'J', 'B', 3890.010102154206, 19.666666666666668)
('128', 'I', 'D', 3924, 100)
('130', 'I', 'D', 3924, 100)
['14', 'D', 'EOL', 3968.4474362153596, 0]
('134', 'J', 'D', 3968.4474362153596, 100)
