AssetID,AssignedUnit,RecievedDate
33,B,2028-08-01
87,A,2028-08-01
21,G,2028-08-01
84,B,2028-08-07
33,E,2028-08-07
84,C,2028-08-14
57,D,2028-08-14
84,B,2028-08-17
1,F,2028-08-17
84,C,2028-08-24
53,E,2028-08-24
84,B,2028-09-01
87,E,2028-09-01
84,F,2028-09-03
88,C,2028-09-10
70,F,2028-09-10
57,C,2028-09-12
88,F,2028-09-12
88,C,2028-11-09
57,G,2028-11-09
10,A,2028-12-17
63,E,2028-12-17
10,B,2028-12-22
21,A,2028-12-22
10,D,2029-01-01
21,E,2029-01-01
15,C,2029-03-18
56,G,2029-03-18
9,B,2029-03-22
10,E,2029-03-28
80,C,2029-03-28
97,B,2029-04-05
14,F,2029-04-05
9,F,2029-04-11
9,E,2029-10-27
84,G,2029-10-27
1,E,2030-01-05
83,G,2030-01-05
9,F,2030-03-16
1,F,2030-04-13
10,G,2030-04-13
9,G,2030-04-20
