id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
C,129,0,12,0,0.0,19.249999999999996,774,3522474.296731861
D,129,1,10,2,0.19999999999999996,28.216666666666665,1032,3523506.296731861
E,129,6,7,7,1.0,105.42857142857143,1935,3525441.296731861
F,129,3,9,6,0.6666666666666667,85.03866255144032,2709,3528150.296731861
G,129,1,10,2,0.19999999999999996,64.66666666666666,2967,3531117.296731861
H,129,4,12,9,0.75,9.0,4128,3535245.296731861
I,129,4,12,8,0.6666666666666667,82.168487654321,5160,3540405.296731861
J,129,8,30,17,0.5666666666666667,68.76666666666665,7353,3547758.296731861
A,135,1,10,2,1.1999999999999997,58.4675925925926,1620,3549378.296731861
B,135,0,12,0,0.0,30.3915,1620,3550998.296731861
C,135,0,12,0,0.0,19.249999999999996,1620,3552618.296731861
D,135,1,10,2,1.1999999999999997,29.416666666666664,3240,3555858.296731861
E,135,6,7,7,6.0,111.42857142857143,8910,3564768.296731861
F,135,1,10,8,4.666666666666667,89.705329218107,15390,3580158.296731861
G,135,1,10,2,1.1999999999999997,65.86666666666666,17010,3597168.296731861
H,135,4,12,9,4.5,13.5,24300,3621468.296731861
I,135,4,12,9,4.5,86.668487654321,31590,3653058.296731861
J,135,8,30,19,3.8,72.56666666666665,46980,3700038.296731861
A,136.8309523809524,1,10,3,0.36619047619047923,58.833783068783085,11904.292857142858,3711942.5895890035
B,136.8309523809524,0,12,0,0.0,30.3915,11904.292857142858,3723846.882446146
C,136.8309523809524,0,12,0,0.0,19.249999999999996,11904.292857142858,3735751.1753032887
D,136.8309523809524,1,10,2,0.36619047619047923,29.782857142857143,19840.488095238095,3755591.6633985266
E,136.8309523809524,6,7,7,1.8309523809523967,113.25952380952383,47617.17142857143,3803208.834827098
F,136.8309523809524,1,10,2,0.36619047619047923,90.07151969429748,55553.366666666676,3858762.2014937648
G,136.8309523809524,1,10,2,0.36619047619047923,66.23285714285714,63489.56190476191,3922251.7633985267
H,136.8309523809524,4,12,11,1.6783730158730301,15.17837301587303,107138.63571428573,4029390.3991128122
I,136.8309523809524,4,12,10,1.525793650793664,88.19428130511466,146819.61190476193,4176210.011017574
J,136.8309523809524,8,30,22,1.3426984126984243,73.90936507936507,234117.75952380954,4410327.770541384
A,137.23857142857142,1,10,3,0.08152380952380438,58.915306878306886,11185.92384693877,4421513.6943883225
B,137.23857142857142,0,12,0,0.0,30.3915,11185.92384693877,4432699.618235261
C,137.23857142857142,0,12,0,0.0,19.249999999999996,11185.92384693877,4443885.5420822
D,137.23857142857142,1,10,2,0.08152380952380438,29.864380952380948,18643.206411564614,4462528.748493765
E,137.23857142857142,6,7,7,0.407619047619022,113.66714285714285,44743.69538775508,4507272.44388152
F,137.23857142857142,1,10,2,0.08152380952380438,90.15304350382128,52200.97795238092,4559473.421833901
G,137.23857142857142,1,10,2,0.08152380952380438,66.31438095238094,59658.26051700676,4619131.6823509075
H,137.23857142857142,4,12,11,0.37365079365077014,15.5520238095238,100673.31462244892,4719804.996973356
I,137.23857142857142,4,12,11,0.37365079365077014,88.56793209876543,141688.36872789107,4861493.365701247
J,137.23857142857142,8,30,22,0.29892063492061616,74.2082857142857,223718.47693877536,5085211.842640023
A,138.0500000000001,1,10,2,0.16228571428573557,59.07759259259262,7388.830428571437,5092600.673068594
B,138.0500000000001,0,12,0,0.0,30.3915,7388.830428571437,5099989.503497166
C,138.0500000000001,0,12,0,0.0,19.249999999999996,7388.830428571437,5107378.333925737
D,138.0500000000001,1,10,2,0.16228571428573557,30.026666666666685,14777.660857142873,5122155.99478288
E,138.0500000000001,6,7,7,0.811428571428678,114.47857142857153,40638.5673571429,5162794.562140022
F,138.0500000000001,1,10,3,0.16228571428573557,90.31532921810701,51721.81300000006,5214516.3751400225
G,138.0500000000001,1,10,2,0.16228571428573557,66.47666666666667,59110.64342857149,5273627.018568594
H,138.0500000000001,4,12,11,0.7438095238096214,16.29583333333342,99749.2107857144,5373376.229354308
I,138.0500000000001,4,12,11,0.7438095238096214,89.31174162257504,140387.77814285728,5513764.007497165
J,138.0500000000001,8,30,23,0.6220952380953197,74.83038095238102,225359.32807142884,5739123.335568594
A,140.82833333333332,1,10,2,0.5556666666666443,59.63325925925927,7308.990499999972,5746432.326068594
B,140.82833333333332,0,12,-1,0.0,30.3915,3654.495249999986,5750086.821318594
C,140.82833333333332,0,12,0,0.0,19.249999999999996,3654.495249999986,5753741.3165685935
D,140.82833333333332,1,10,2,0.5556666666666443,30.58233333333333,10963.485749999958,5764704.8023185935
E,140.82833333333332,6,7,7,2.7783333333332223,117.25690476190475,36544.95249999986,5801249.754818593
F,140.82833333333332,1,10,2,0.5556666666666443,90.87099588477365,43853.94299999983,5845103.697818593
G,140.82833333333332,1,10,2,0.5556666666666443,67.03233333333331,51162.9334999998,5896266.6313185925
H,140.82833333333332,4,12,11,2.5468055555554536,18.842638888888875,91362.38124999966,5987629.012568592
I,140.82833333333332,4,12,11,2.5468055555554536,91.8585471781305,131561.8289999995,6119190.841568592
J,140.82833333333332,8,30,24,2.2226666666665778,77.0530476190476,219269.71499999915,6338460.556568591
