['89', 'C', 'MA', 548.5549540130985, 0]
('87', 'D', 'C', 548.5549540130985, 0.33333333333333337)
('68', 'B', 'D', 548.5549540130985, 0.19999999999999996)
['72', 'A', 'MA', 551.063582329677, 0]
('68', 'D', 'A', 551.063582329677, 0.33333333333333337)
['25', 'G', 'EOL', 551.8949357520788, 0]
['30', 'E', 'EOL', 553.1239563028814, 0]
('94', 'J', 'E', 553.1239563028814, 0.6666666666666665)
['87', 'C', 'MA', 553.7572541121792, 0]
('94', 'E', 'C', 553.7572541121792, 0.16666666666666669)
('68', 'A', 'E', 553.7572541121792, 0.33333333333333326)
('4', 'B', 'A', 553.7572541121792, 0.16666666666666663)
('24', 'D', 'B', 553.7572541121792, 0.16666666666666663)
('1', 'H', 'D', 553.7572541121792, 0.16666666666666663)
('23', 'J', 'H', 553.7572541121792, 0.25)
('49', 'F', 'J', 554, 0.5)
('52', 'F', 'J', 554, 0.4107142857142857)
('63', 'F', 'D', 554, 0.3666666666666667)
['24', 'B', 'EOL', 556.5224894851402, 0]
('63', 'D', 'B', 556.5224894851402, 0.33333333333333337)
('85', 'G', 'D', 558, 0.7666666666666666)
('17', 'G', 'B', 558, 0.5666666666666667)
('56', 'G', 'A', 558, 0.3666666666666667)
['88', 'J', 'MA', 558.1019266562347, 0]
('85', 'D', 'J', 558.1019266562347, 0.1785714285714286)
('17', 'B', 'D', 558.1019266562347, 0.19999999999999996)
('56', 'A', 'B', 558.1019266562347, 0.19999999999999996)
['91', 'F', 'MA', 558.584920634921, 0]
['67', 'F', 'MA', 558.584920634921, 0]
['82', 'F', 'MA', 558.584920634921, 0]
('85', 'J', 'F', 558.584920634921, 6.0)
('52', 'J', 'F', 558.584920634921, 4.5)
('17', 'D', 'F', 558.584920634921, 2.0)
('56', 'B', 'J', 558.584920634921, 0.25)
['83', 'E', 'MA', 560.3048075280893, 0]
['100', 'E', 'MA', 560.3048075280893, 0]
('56', 'J', 'E', 560.3048075280893, 0.9166666666666665)
('52', 'F', 'E', 560.3048075280893, 0.3333333333333333)
('63', 'B', 'F', 560.3048075280893, 1.0)
('16', 'G', 'B', 560.3048075280893, 0.16666666666666666)
('1', 'D', 'G', 560.3048075280893, 1.0)
('94', 'C', 'D', 560.3048075280893, 0.16666666666666663)
('23', 'H', 'C', 560.3048075280893, 0.16666666666666663)
('4', 'A', 'J', 560.3048075280893, 0.125)
['96', 'G', 'MA', 561.6619047619051, 0]
['92', 'G', 'MA', 561.6619047619051, 0]
['59', 'G', 'MA', 561.6619047619051, 0]
('4', 'J', 'G', 561.6619047619051, 5.666666666666666)
('49', 'J', 'G', 561.6619047619051, 4.0)
('94', 'D', 'J', 561.6619047619051, 0.19444444444444442)
('52', 'E', 'D', 561.6619047619051, 0.16666666666666669)
('63', 'F', 'E', 561.6619047619051, 0.3333333333333333)
('23', 'C', 'F', 561.6619047619051, 1.0)
('16', 'B', 'G', 561.6619047619051, 1.0)
['56', 'E', 'MA', 564.092650607825, 0]
('23', 'F', 'B', 564.092650607825, 0.16666666666666666)
('4', 'G', 'E', 564.092650607825, 0.3333333333333333)
('52', 'D', 'F', 564.092650607825, 1.0)
['54', 'G', 'MA', 565.8826579179257, 0]
('94', 'J', 'G', 565.8826579179257, 4.0)
('23', 'B', 'J', 565.8826579179257, 0.19444444444444442)
('4', 'E', 'D', 565.8826579179257, 0.16666666666666669)
('52', 'F', 'B', 565.8826579179257, 0.16666666666666666)
('23', 'J', 'H', 566, 8)
('28', 'J', 'H', 566, 8)
('36', 'J', 'H', 566, 8)
('5', 'J', 'H', 566, 8)
('52', 'B', 'J', 566, 0.3333333333333333)
('4', 'D', 'J', 566, 0.29545454545454547)
('6', 'B', 'J', 566, 0.15000000000000002)
('81', 'A', 'B', 566, 0.1428571428571429)
('41', 'D', 'A', 566, 0.1428571428571429)
('95', 'C', 'D', 566, 0.1428571428571429)
['81', 'B', 'EOL', 566.4489934890328, 0]
('41', 'A', 'B', 566.4489934890328, 0.1428571428571429)
('95', 'D', 'A', 566.4489934890328, 0.1428571428571429)
('52', 'J', 'D', 567, 0.875)
('41', 'B', 'D', 567, 0.6428571428571429)
('95', 'A', 'D', 567, 0.5)
['1', 'G', 'EOL', 568.8161666167301, 0]
('4', 'J', 'G', 568.8161666167301, 3.0)
('63', 'E', 'J', 568.8161666167301, 0.10227272727272729)
['66', 'MA', 'B', 573.4529404185595, 0]
['86', 'MA', 'B', 573.4529404185595, 0]
('66', 'B', 'E', 573.4529404185595, 0.75)
('86', 'B', 'D', 573.4529404185595, 0.30000000000000004)
['89', 'MA', 'C', 573.5549540130985, 0]
('89', 'C', 'J', 573.5549540130985, 0.15000000000000002)
['85', 'F', 'MA', 574.9881632082311, 0]
('89', 'J', 'F', 574.9881632082311, 3.5)
('86', 'D', 'J', 574.9881632082311, 0.09999999999999998)
['94', 'G', 'MA', 575.668333895195, 0]
('86', 'J', 'G', 575.668333895195, 3.5)
['72', 'MA', 'A', 576.063582329677, 0]
('72', 'A', 'D', 576.063582329677, 0.30000000000000004)
['72', 'D', 'MA', 576.0635823296772, 0]
['3', 'F', 'EOL', 577.6411229346501, 0]
('63', 'J', 'F', 577.6411229346501, 3.0)
