id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
H,174.24107142857142,4,12,3,1.5168966450216246,14.004712301587288,11931.94937094152,-76920.0782171844
I,174.24107142857142,4,12,3,1.5168966450216246,18.90054563492064,23863.89874188304,-53056.17947530137
J,174.24107142857142,8,30,7,1.4157702020201826,18.474522607022603,51705.113940746596,-1351.0655345547711
A,184.0631313131311,0,12,0,0.0,0.5555555555555558,0.0,-1351.0655345547711
B,184.0631313131311,0,12,-1,0.0,0.0,-3084.7008703102438,-4435.766404865015
C,184.0631313131311,0,12,-4,0.0,0.0,-15423.504351551219,-19859.270756416234
D,184.0631313131311,1,10,0,0.0,0.0,-15423.504351551219,-35282.77510796745
E,184.0631313131311,6,7,5,7.01575706039977,52.87745310245294,0.0,-35282.77510796745
F,184.0631313131311,1,10,0,0.0,15.458333333333336,0.0,-35282.77510796745
G,184.0631313131311,1,10,0,0.0,7.333333333333337,0.0,-35282.77510796745
H,184.0631313131311,4,12,2,2.4555149711399196,16.46022727272721,6169.4017406204875,-29113.37336734696
I,184.0631313131311,4,12,3,2.4555149711399196,21.35606060606056,15423.504351551219,-13689.869015795743
J,184.0631313131311,8,30,7,2.2918139730639244,20.766336580086527,37016.410443722925,23326.541427927183
A,185.58333333333334,0,12,0,0.0,0.5555555555555558,0.0,23326.541427927183
B,185.58333333333334,0,12,-2,0.0,0.0,-2574.7344276095087,20751.807000317673
C,185.58333333333334,0,12,-4,0.0,0.0,-7724.203282828526,13027.603717489146
D,185.58333333333334,1,10,0,0.0,0.0,-7724.203282828526,5303.40043466062
E,185.58333333333334,6,7,5,1.0858585858587486,53.96331168831169,-1287.3672138047543,4016.0332208558657
F,185.58333333333334,1,10,0,0.0,15.458333333333336,-1287.3672138047543,2728.6660070511116
G,185.58333333333334,1,10,0,0.0,7.333333333333337,-1287.3672138047543,1441.2987932463573
H,185.58333333333334,4,12,3,0.38005050505056204,16.84027777777777,2574.7344276095087,4016.0332208558657
I,185.58333333333334,4,12,3,0.38005050505056204,21.73611111111112,6436.836069023772,10452.869289879638
J,185.58333333333334,8,30,6,0.3040404040404496,21.070376984126977,14161.039351852298,24613.908641731934
A,185.78571428571422,0,12,0,0.0,0.5555555555555558,0.0,24613.908641731934
B,185.78571428571422,0,12,-2,0.0,0.0,-2012.6785714285672,22601.230070303365
C,185.78571428571422,0,12,-4,0.0,0.0,-6038.035714285702,16563.194356017662
D,185.78571428571422,1,10,0,0.0,0.0,-6038.035714285702,10525.15864173196
E,185.78571428571422,6,7,6,0.14455782312919854,54.10786951144089,0.0,10525.15864173196
F,185.78571428571422,1,10,0,0.0,15.458333333333336,0.0,10525.15864173196
G,185.78571428571422,1,10,0,0.0,7.333333333333337,0.0,10525.15864173196
H,185.78571428571422,4,12,3,0.050595238095219486,16.89087301587299,3019.017857142851,13544.176498874811
I,185.78571428571422,4,12,3,0.050595238095219486,21.78670634920634,6038.035714285702,19582.212213160514
J,185.78571428571422,8,30,6,0.04047619047617558,21.110853174603154,12076.071428571404,31658.28364173192
A,188.80952380952382,0,12,0,0.0,0.5555555555555558,0.0,31658.28364173192
B,188.80952380952382,0,12,-2,0.0,0.0,-1969.0136054422017,29689.27003628972
C,188.80952380952382,0,12,-5,0.0,0.0,-6891.547619047706,22797.722417242014
D,188.80952380952382,1,10,0,0.0,0.0,-6891.547619047706,15906.174798194308
E,188.80952380952382,6,7,5,2.159863945578288,56.267733457019176,-1969.0136054422017,13937.161192752106
F,188.80952380952382,1,10,0,0.0,15.458333333333336,-1969.0136054422017,11968.147587309904
G,188.80952380952382,1,10,0,0.0,7.333333333333337,-1969.0136054422017,9999.133981867702
H,188.80952380952382,4,12,3,0.7559523809524009,17.646825396825392,984.5068027211008,10983.640784588802
I,188.80952380952382,4,12,3,0.7559523809524009,22.54265873015874,3938.0272108844033,14921.667995473206
J,188.80952380952382,8,30,7,0.705555555555574,21.816408730158727,10829.574829932108,25751.242825405316
A,191,0,12,0,0.0,0.5555555555555558,0.0,25751.242825405316
B,191,0,12,-2,0.0,0.0,-836.7619047618991,24914.480920643415
C,191,0,12,-5,0.0,0.0,-2928.666666666647,21985.81425397677
D,191,6,7,-3,0.0,0.0,-4183.809523809496,17802.004730167275
E,191,6,7,5,1.5646258503401254,57.832359307359305,-2091.904761904748,15710.099968262526
F,191,1,10,0,0.0,15.458333333333336,-2091.904761904748,13618.195206357777
G,191,1,10,0,0.0,7.333333333333337,-2091.904761904748,11526.290444453029
H,191,4,12,3,0.5476190476190439,18.194444444444436,-836.7619047618991,10689.52853969113
I,191,4,12,3,0.5476190476190439,23.090277777777786,418.38095238094957,11107.909492072078
J,191,8,30,7,0.5111111111111075,22.327519841269833,3347.0476190475965,14454.957111119675
A,191.83749999999998,0,12,0,0.0,0.5555555555555558,0.0,14454.957111119675
B,191.83749999999998,0,12,-2,0.0,0.0,-21102.124999999996,-6647.167888880322
C,191.83749999999998,0,12,-5,0.0,0.0,-73857.43749999999,-80504.6053888803
D,191.83749999999998,6,7,3,0.3589285714285617,0.3589285714285617,-42204.24999999999,-122708.8553888803
E,191.83749999999998,6,7,3,0.3589285714285617,58.19128787878787,-10551.062499999998,-133259.9178888803
F,191.83749999999998,1,10,0,0.0,15.458333333333336,-10551.062499999998,-143810.9803888803
G,191.83749999999998,1,10,1,0.0,7.333333333333337,0.0,-143810.9803888803
H,191.83749999999998,4,12,2,0.1395833333333295,18.334027777777766,21102.124999999996,-122708.8553888803
I,191.83749999999998,4,12,2,0.1395833333333295,23.229861111111116,42204.24999999999,-80504.6053888803
J,191.83749999999998,8,30,5,0.1395833333333295,22.467103174603164,94959.5625,14454.9571111197
A,192.91250000000002,0,12,0,0.0,0.5555555555555558,0.0,14454.9571111197
B,192.91250000000002,0,12,-2,0.0,0.0,-20897.24656250001,-6442.289451380311
C,192.91250000000002,0,12,-5,0.0,0.0,-73140.36296875005,-79582.65242013035
D,192.91250000000002,6,7,3,0.6142857142857402,0.9732142857143019,-41794.49312500002,-121377.14554513038
E,192.91250000000002,6,7,3,0.4607142857143052,58.65200216450217,-10448.623281250006,-131825.76882638037
F,192.91250000000002,1,10,0,0.0,15.458333333333336,-10448.623281250006,-142274.39210763038
G,192.91250000000002,1,10,0,0.0,7.333333333333337,-10448.623281250006,-152723.0153888804
H,192.91250000000002,4,12,2,0.17916666666667422,18.51319444444444,10448.623281250006,-142274.39210763038
I,192.91250000000002,4,12,2,0.17916666666667422,23.40902777777779,31345.869843750017,-110928.52226388037
J,192.91250000000002,8,30,5,0.17916666666667422,22.646269841269838,83588.98625000005,-27339.536013880323
